Index,meanAcceleration
0,6.000000
1,7.500000
2,7.000000
3,6.000000
4,5.200000
5,4.666667
6,4.571429
7,4.625000
8,4.625000
9,4.777778
10,4.400000
11,4.272727
12,4.272727
13,4.416667
14,4.692307
15,4.785714
16,4.666667
17,4.666667
18,4.687500
19,4.470588
20,4.333333
21,4.157895
22,4.050000
23,3.904762
24,3.818182
25,3.695652
26,3.583333
27,3.680000
28,3.576923
29,3.518518
30,3.464286
31,3.379310
32,3.206897
33,3.000000
34,2.965517
35,3.000000
36,2.965517
37,2.931035
38,2.827586
39,2.689655
40,2.700000
41,2.566667
42,2.666667
43,2.600000
44,2.600000
45,2.466667
46,2.233333
47,2.100000
48,2.066667
49,2.096774
50,2.000000
51,2.033333
52,2.066667
53,2.133333
54,2.100000
55,2.100000
56,2.166667
57,2.233333
58,2.233333
59,2.100000
60,2.133333
61,2.133333
62,2.200000
63,2.266667
64,2.400000
65,2.466667
66,2.333333
67,2.366667
68,2.433333
69,2.500000
70,2.500000
71,2.566667
72,2.533333
73,2.633333
74,2.533333
75,2.566667
76,2.677419
77,2.677419
78,2.806452
79,2.806452
80,2.806452
81,2.741935
82,2.750000
83,2.812500
84,2.781250
85,2.750000
86,2.781250
87,2.875000
88,2.968750
89,2.968750
90,3.000000
91,3.062500
92,3.156250
93,3.281250
94,3.343750
95,3.343750

