X,Y,Z,mean
6.360000,-0.720000,-0.080000,6.000000
9.040000,-1.000000,0.520000,7.500000
6.840000,-0.840000,1.160000,7.000000
2.840000,-1.640000,-0.160000,6.000000
1.760000,-1.960000,1.200000,5.200000
2.640000,0.160000,-0.040000,4.666667
4.600000,-1.080000,0.520000,4.571429
4.680000,-1.640000,1.200000,4.625000
0.360000,-0.280000,0.000000,4.111111
6.440000,-1.680000,0.000000,4.300000
-0.760000,-0.440000,1.120000,4.000000
3.200000,-0.080000,-0.160000,3.916667
0.400000,-0.560000,0.560000,3.615385
6.160000,0.400000,0.480000,3.785714
8.120000,-1.240000,0.520000,4.066667
6.920000,-0.240000,0.520000,4.187500
2.960000,-0.160000,0.600000,4.117647
0.920000,0.360000,-0.040000,3.888889
5.680000,0.480000,1.200000,3.947368
-0.440000,-1.080000,1.080000,3.800000
2.600000,-0.960000,-0.160000,3.714286
0.680000,-0.400000,1.040000,3.590909
2.280000,0.360000,1.120000,3.521739
0.320000,-0.880000,0.480000,3.416667
-1.560000,0.680000,1.080000,3.360000
-0.960000,0.000000,0.440000,3.269231
1.040000,-0.840000,1.160000,3.185185
6.120000,0.520000,0.520000,3.285714
-0.200000,0.040000,1.160000,3.206897
-2.080000,-1.000000,-0.040000,3.166667
2.680000,0.120000,0.520000,3.129032
-0.280000,0.080000,1.040000,3.062500
-0.520000,0.520000,1.080000,2.906250
3.480000,1.320000,1.160000,2.968750
5.280000,-0.400000,1.200000,2.843750
4.440000,0.480000,0.480000,2.781250
-1.600000,-0.760000,0.000000,2.718750
1.320000,0.080000,0.480000,2.687500
-1.000000,-0.400000,0.520000,2.656250
1.080000,0.520000,-0.040000,2.562500
3.880000,-0.120000,-0.040000,2.500000
2.760000,1.000000,0.000000,2.562500
3.920000,1.160000,0.480000,2.500000
-1.080000,0.880000,-0.160000,2.500000
-0.480000,0.680000,0.480000,2.406250
1.560000,1.280000,0.600000,2.468750
-0.560000,0.720000,0.600000,2.312500
2.280000,-0.160000,-0.080000,2.125000
2.240000,1.160000,-0.040000,2.000000
-3.840000,0.560000,0.520000,2.000000
0.200000,0.520000,-0.080000,2.000000
-2.800000,0.080000,-0.160000,1.906250
3.120000,0.720000,1.040000,1.968750
3.000000,1.040000,-0.120000,2.000000
-0.240000,1.440000,1.120000,2.000000
-1.040000,0.760000,-0.040000,1.968750
4.520000,1.160000,-0.080000,2.062500
-2.280000,1.760000,1.040000,2.093750
0.600000,-0.040000,1.160000,2.093750
-2.400000,1.680000,0.000000,2.125000
-2.720000,0.440000,0.560000,2.000000
-2.640000,0.880000,-0.120000,2.031250
4.240000,1.800000,0.520000,2.093750
2.040000,1.880000,1.200000,2.125000
-5.080000,2.520000,0.520000,2.250000
-4.960000,1.520000,1.160000,2.312500
-0.160000,1.600000,0.440000,2.187500
-4.360000,2.480000,1.080000,2.187500
-2.400000,2.040000,1.120000,2.156250
-2.440000,2.400000,0.000000,2.218750
1.440000,1.040000,-0.160000,2.218750
-3.480000,0.920000,-0.040000,2.281250
0.560000,2.120000,-0.080000,2.312500
-4.840000,1.040000,1.040000,2.375000
1.400000,0.680000,1.080000,2.343750
-1.800000,1.560000,1.200000,2.281250
-5.840000,2.080000,0.560000,2.437500
-1.040000,2.400000,1.120000,2.500000
-4.960000,1.000000,1.200000,2.593750
0.960000,2.600000,-0.120000,2.625000
-1.080000,1.880000,0.560000,2.625000
-0.480000,1.520000,0.560000,2.593750
1.480000,2.880000,1.120000,2.593750
-2.440000,3.000000,1.200000,2.718750
-1.720000,1.920000,-0.160000,2.718750
-1.640000,2.440000,0.000000,2.687500
1.320000,1.760000,1.040000,2.656250
-4.600000,1.240000,0.440000,2.750000
-6.800000,2.880000,0.000000,2.937500
-2.800000,2.040000,1.160000,2.906250
0.080000,2.120000,-0.120000,2.875000
-3.280000,3.200000,-0.080000,2.968750
-5.160000,3.040000,0.000000,3.062500
-6.280000,1.360000,1.160000,3.187500
-6.320000,2.720000,-0.080000,3.312500
-1.280000,2.600000,1.160000,3.281250
