X,Y,Z,mean
4.080000,-0.680000,-0.160000,4.000000
4.960000,0.000000,1.160000,4.500000
-0.040000,-1.200000,-0.120000,3.333333
6.120000,-1.600000,0.000000,4.000000
2.720000,-1.160000,-0.120000,3.600000
1.760000,-0.480000,1.080000,3.333333
7.800000,-1.680000,0.520000,3.857143
0.640000,-0.640000,-0.080000,3.375000
3.680000,-1.480000,1.120000,3.444444
8.440000,0.000000,0.000000,3.900000
2.360000,-1.400000,-0.080000,3.727273
2.360000,-1.440000,-0.080000,3.583333
8.160000,-0.320000,-0.080000,3.923077
-0.680000,-0.440000,1.120000,3.714286
7.000000,-1.360000,1.160000,3.933333
4.160000,-0.720000,-0.160000,3.937500
7.040000,-0.120000,1.080000,4.117647
-1.360000,-0.240000,1.120000,3.944444
4.720000,0.360000,0.520000,3.947368
0.680000,-1.440000,1.160000,3.800000
-0.360000,-0.040000,0.480000,3.619048
5.480000,-0.640000,1.080000,3.681818
0.320000,-1.480000,1.160000,3.565217
0.240000,-0.080000,1.040000,3.458333
1.400000,-0.920000,0.000000,3.360000
6.040000,-0.240000,1.120000,3.461539
4.240000,-0.280000,1.120000,3.481482
1.120000,0.880000,0.440000,3.392857
-1.880000,0.320000,1.160000,3.344828
5.680000,-0.680000,0.480000,3.400000
1.600000,-0.560000,-0.040000,3.322581
4.680000,-0.800000,0.480000,3.343750
-0.280000,0.400000,0.000000,3.218750
5.360000,-1.040000,-0.120000,3.375000
0.560000,1.000000,0.600000,3.250000
6.400000,-0.720000,0.560000,3.406250
3.240000,0.760000,1.160000,3.312500
1.080000,0.800000,-0.120000,3.281250
2.320000,1.280000,0.000000,3.281250
-1.800000,-0.480000,1.040000,3.125000
3.880000,-0.760000,0.600000,3.218750
-2.080000,1.640000,1.040000,3.156250
-3.000000,1.080000,-0.040000,3.000000
2.680000,0.000000,1.040000,3.000000
-3.480000,0.800000,1.160000,3.031250
-2.520000,-0.320000,0.520000,2.843750
-2.480000,0.720000,0.560000,2.875000
2.480000,1.440000,1.200000,2.750000
0.520000,1.440000,0.600000,2.656250
1.320000,0.000000,-0.120000,2.468750
-0.840000,0.400000,-0.160000,2.437500
-2.800000,-0.200000,1.040000,2.375000
-1.840000,0.560000,1.120000,2.406250
-3.000000,1.520000,-0.160000,2.500000
2.040000,0.920000,0.520000,2.406250
-0.240000,0.720000,-0.160000,2.375000
0.520000,0.680000,0.480000,2.343750
-0.400000,0.680000,1.160000,2.343750
-2.640000,1.720000,0.440000,2.250000
0.600000,1.840000,1.200000,2.187500
4.360000,0.240000,0.560000,2.281250
3.280000,0.720000,1.040000,2.312500
-3.760000,2.200000,0.600000,2.281250
4.280000,0.640000,0.480000,2.375000
2.080000,1.960000,1.080000,2.343750
1.040000,1.440000,1.160000,2.250000
2.960000,1.200000,-0.120000,2.281250
-1.320000,1.280000,-0.160000,2.281250
-3.160000,1.520000,1.040000,2.187500
2.800000,0.640000,-0.120000,2.156250
-1.240000,2.680000,1.120000,2.218750
-0.360000,2.200000,1.120000,2.218750
0.520000,1.440000,0.600000,2.187500
-5.640000,1.560000,-0.040000,2.250000
3.280000,1.480000,0.520000,2.281250
3.120000,2.400000,1.120000,2.312500
3.280000,1.080000,0.600000,2.343750
-5.080000,2.360000,-0.120000,2.406250
2.880000,1.840000,1.160000,2.437500
-4.160000,2.840000,0.520000,2.531250
-4.080000,2.360000,-0.040000,2.562500
-5.440000,2.320000,1.080000,2.718750
-2.240000,3.000000,0.000000,2.781250
-3.480000,1.880000,0.520000,2.875000
-3.600000,2.400000,1.200000,2.937500
1.480000,1.960000,-0.160000,2.937500
2.160000,3.400000,-0.040000,2.968750
-5.760000,3.040000,0.560000,3.093750
-1.000000,1.760000,0.560000,3.156250
-6.880000,2.960000,1.080000,3.375000
-2.080000,1.960000,0.480000,3.406250
-0.040000,2.360000,-0.120000,3.375000
0.680000,1.600000,-0.080000,3.343750
0.560000,3.240000,-0.120000,3.312500
-7.360000,3.640000,0.440000,3.468750
-2.480000,2.240000,0.520000,3.437500
