Index,meanAcceleration
0,4.139372
1,4.616606
2,3.479953
3,4.191388
4,3.945002
5,3.640836
6,4.262973
7,3.843680
8,3.874555
9,4.331099
10,4.186924
11,4.068497
12,4.383740
13,4.169343
14,4.373028
15,4.363769
16,4.526098
17,4.373431
18,4.393892
19,4.272706
20,4.097878
21,4.167155
22,4.068907
23,3.943966
24,3.853217
25,3.941464
26,3.958238
27,3.870115
28,3.813632
29,3.877867
30,3.807472
31,3.837616
32,3.723519
33,3.735002
34,3.737721
35,3.742064
36,3.759717
37,3.735634
38,3.568568
39,3.606847
40,3.603017
41,3.428193
42,3.442054
43,3.445458
44,3.307577
45,3.345412
46,3.202218
47,3.167337
48,2.996119
49,2.981974
50,2.862656
51,2.894638
52,2.945399
53,2.874928
54,2.887116
55,2.877907
56,2.856226
57,2.707951
58,2.670048
59,2.694623
60,2.762443
61,2.692905
62,2.777337
63,2.764276
64,2.844493
65,2.740125
66,2.799580
67,2.655236
68,2.659399
69,2.707066
70,2.722958
71,2.734247
72,2.660666
73,2.754612
74,2.768584
75,2.806640
76,2.798843
77,2.892900
78,2.923108
79,2.984204
80,3.080115
81,3.226565
82,3.314065
83,3.345183
84,3.415943
85,3.387641
86,3.441729
87,3.621773
88,3.656738
89,3.849373
90,3.840515
91,3.843209
92,3.760021
93,3.752983
94,3.872522
95,3.842145

