X,Y,Z,mean
8.240000,-2.280000,1.160000,8
7.120000,-0.400000,1.040000,7
1.080000,-1.360000,-0.120000,5
2.880000,-1.160000,0.560000,4
3.920000,-2.160000,0.520000,4
0.600000,-1.640000,1.080000,4
8.679999,-1.480000,0.600000,4
6.760000,-1.440000,1.040000,4
-0.360000,-0.880000,1.120000,4
2.400000,-0.440000,1.200000,4
4.240000,-0.960000,1.120000,4
8.120000,-0.760000,-0.040000,4
2.320000,-1.400000,-0.080000,4
1.200000,0.280000,0.480000,4
1.200000,0.280000,0.440000,3
7.960000,-0.280000,1.120000,4
0.080000,-0.680000,0.600000,3
7.760000,-0.200000,0.000000,4
4.840000,0.640000,0.560000,4
7.760000,-0.040000,1.160000,4
2.560000,-0.240000,0.600000,4
6.480000,-1.040000,0.520000,4
-1.680000,-1.040000,1.120000,4
-1.680000,0.800000,1.160000,4
4.160000,-0.640000,-0.160000,4
2.000000,0.920000,1.200000,3
1.120000,0.760000,0.520000,3
4.000000,0.280000,0.480000,3
7.000000,-0.680000,0.560000,3
0.680000,0.600000,-0.040000,3
-0.360000,-0.160000,0.000000,3
3.560000,0.760000,1.200000,3
-0.560000,0.720000,-0.040000,3
-0.280000,-1.000000,-0.120000,3
-1.560000,0.760000,0.520000,3
6.240000,-0.400000,0.520000,3
-2.800000,-0.240000,1.160000,3
5.080000,-0.280000,-0.080000,3
0.040000,-0.320000,1.200000,3
0.960000,-0.720000,-0.080000,3
-2.040000,0.080000,1.160000,3
-3.280000,0.520000,-0.160000,3
2.680000,-0.040000,-0.080000,3
4.880000,1.440000,1.040000,3
0.520000,1.400000,-0.080000,2
5.640000,0.040000,1.200000,3
-0.400000,1.240000,0.560000,3
-0.760000,0.720000,0.440000,3
-1.480000,0.320000,0.480000,2
4.080000,0.160000,-0.120000,2
4.360000,-0.160000,-0.080000,2
-2.040000,2.040000,1.120000,2
4.880000,0.720000,0.600000,2
-4.240000,0.600000,1.080000,2
1.680000,0.600000,1.040000,2
-0.360000,2.160000,1.040000,2
-0.160000,0.440000,-0.120000,2
3.480000,1.200000,1.080000,2
0.560000,0.080000,1.080000,2
-0.360000,0.840000,1.120000,2
2.200000,0.600000,1.120000,2
4.320000,1.120000,0.520000,2
3.040000,1.640000,0.520000,2
-3.760000,0.840000,0.000000,2
4.080000,1.520000,0.520000,2
-2.880000,1.760000,0.560000,2
-1.960000,1.800000,0.000000,2
-3.240000,2.480000,1.200000,2
2.880000,1.640000,0.000000,2
3.640000,1.080000,-0.080000,2
-3.240000,2.440000,0.560000,2
2.400000,1.000000,1.160000,2
-3.640000,2.000000,0.520000,2
-3.760000,1.680000,-0.080000,2
-2.760000,1.680000,-0.040000,2
-5.880000,1.560000,0.000000,2
-5.920000,2.520000,-0.120000,2
-4.120000,2.720000,1.160000,3
-0.240000,1.680000,-0.040000,2
-6.240000,1.560000,0.440000,3
-3.160000,2.240000,0.600000,3
-0.120000,2.440000,0.480000,3
-1.200000,1.920000,-0.120000,3
-3.320000,1.480000,-0.080000,3
-1.680000,2.080000,1.040000,3
-6.680000,1.880000,1.040000,3
1.200000,2.160000,0.560000,3
0.360000,1.560000,-0.080000,3
-5.840000,3.480000,-0.160000,3
-3.960000,2.000000,1.080000,3
2.000000,3.040000,1.120000,3
1.800000,3.040000,1.200000,3
-6.080000,1.800000,-0.160000,3
-4.120000,2.640000,0.560000,3
-7.240000,3.120000,0.520000,3
-3.520000,3.600000,-0.160000,3
